Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR28444285,2024-06-30 01:23:59,2024-03-25 18:52:22,63002,37927204,63002,602,11,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28444/SRR28444285/SRR28444285.lite.1,SRX24048045,A301,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP497720,PRJNA1091201,,1091201,SRS20840229,SAMN40589564,simple,1759406,microbial fuel cell metagenome,A301,,,,,,,no,,,,,GUANGXI NORMAL UNIVERSITY,SRA1833250,,public,D57A41F5A8573D99A0262D78F7159849,D22BD103B07BDFB01CA3A366E47C5147
SRR28444281,2024-06-30 01:21:01,2024-03-25 18:52:20,68981,41526562,68981,602,12,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28444/SRR28444281/SRR28444281.lite.1,SRX24048049,A302,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP497720,PRJNA1091201,,1091201,SRS20840233,SAMN40589565,simple,1759406,microbial fuel cell metagenome,A302,,,,,,,no,,,,,GUANGXI NORMAL UNIVERSITY,SRA1833250,,public,DC25B954DE1DB24C0964DD650977D115,B5218A28584C1B92A522A6AC0303331E
SRR28444280,2024-06-30 01:13:01,2024-03-25 18:52:00,59238,35661276,59238,602,10,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28444/SRR28444280/SRR28444280.lite.1,SRX24048050,A303,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP497720,PRJNA1091201,,1091201,SRS20840234,SAMN40589566,simple,1759406,microbial fuel cell metagenome,A303,,,,,,,no,,,,,GUANGXI NORMAL UNIVERSITY,SRA1833250,,public,8B9451D06A98AE3FC2000773F43337F3,18492C206E86FB65BDD9C8184F533E27
SRR28444279,2024-06-30 01:23:59,2024-03-25 18:52:33,60502,36422204,60502,602,10,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28444/SRR28444279/SRR28444279.lite.1,SRX24048051,A351,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP497720,PRJNA1091201,,1091201,SRS20840235,SAMN40589567,simple,1759406,microbial fuel cell metagenome,A351,,,,,,,no,,,,,GUANGXI NORMAL UNIVERSITY,SRA1833250,,public,A01BB08FA78505DA416178099CADB930,D75DC32A3FD43623EC210BE229C4C794
SRR28444278,2024-06-30 01:13:01,2024-03-25 18:52:55,61788,37196376,61788,602,11,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28444/SRR28444278/SRR28444278.lite.1,SRX24048052,A352,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP497720,PRJNA1091201,,1091201,SRS20840237,SAMN40589568,simple,1759406,microbial fuel cell metagenome,A352,,,,,,,no,,,,,GUANGXI NORMAL UNIVERSITY,SRA1833250,,public,17E9A5A266671A14428A88F4E9D9E929,18783C481DA39BC48B2F11A4BC969DAA
SRR28444277,2024-06-30 01:23:59,2024-03-25 18:52:21,68745,41384490,68745,602,12,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28444/SRR28444277/SRR28444277.lite.1,SRX24048053,A353,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP497720,PRJNA1091201,,1091201,SRS20840236,SAMN40589569,simple,1759406,microbial fuel cell metagenome,A353,,,,,,,no,,,,,GUANGXI NORMAL UNIVERSITY,SRA1833250,,public,3B3F0139AECA8863CF23BF7D4AA444EE,1D482F917A4D4213ED184C4A7BD87F2B
SRR28444276,2024-06-30 01:21:01,2024-03-25 18:52:56,76071,45794742,76071,602,13,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28444/SRR28444276/SRR28444276.lite.1,SRX24048054,A451,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP497720,PRJNA1091201,,1091201,SRS20840238,SAMN40589570,simple,1759406,microbial fuel cell metagenome,A451,,,,,,,no,,,,,GUANGXI NORMAL UNIVERSITY,SRA1833250,,public,A0CE69903E751BA5D1320D7871E91E97,736DC8960F32428EAA0BD0544CCD0D5A
SRR28444306,2024-06-30 01:13:01,2024-03-25 18:52:21,77784,46825968,77784,602,13,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28444/SRR28444306/SRR28444306.lite.1,SRX24048024,A452,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP497720,PRJNA1091201,,1091201,SRS20840209,SAMN40589571,simple,1759406,microbial fuel cell metagenome,A452,,,,,,,no,,,,,GUANGXI NORMAL UNIVERSITY,SRA1833250,,public,33BBB2C90A508873583E60CE83E83C10,21659E0C0116EFD78D2BA19CAA0165FF
SRR28444305,2024-06-30 01:23:58,2024-03-25 18:52:32,73863,44465526,73863,602,13,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28444/SRR28444305/SRR28444305.lite.1,SRX24048025,A453,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP497720,PRJNA1091201,,1091201,SRS20840208,SAMN40589572,simple,1759406,microbial fuel cell metagenome,A453,,,,,,,no,,,,,GUANGXI NORMAL UNIVERSITY,SRA1833250,,public,7E3704A4A5A654BD841A18DE05455283,7C86192F9B73A00898C760CF260676B3
SRR28444304,2024-06-30 01:21:00,2024-03-25 18:52:18,68295,41113590,68295,602,12,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28444/SRR28444304/SRR28444304.lite.1,SRX24048026,A551,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP497720,PRJNA1091201,,1091201,SRS20840210,SAMN40589573,simple,1759406,microbial fuel cell metagenome,A551,,,,,,,no,,,,,GUANGXI NORMAL UNIVERSITY,SRA1833250,,public,94F6D4E8A196CB74F82B241D7E94726F,DBCCCA4D6569D55C0C2088333AE68415
